id,cuisine
18009,italian
28583,italian
41580,french
29752,filipino
35687,italian
38527,italian
19666,cajun_creole
41217,italian
28753,italian
22659,italian
21749,italian
44967,mexican
42969,italian
44883,mexican
20827,italian
23196,french
35387,italian
33780,french
19001,mexican
16526,italian
42455,french
47453,mexican
42478,southern_us
11885,southern_us
16585,greek
29639,mexican
26245,italian
38516,italian
47520,italian
26212,italian
23696,mexican
14926,italian
13292,french
27346,italian
1384,brazilian
15959,southern_us
42297,french
46235,italian
21181,italian
9809,italian
22982,italian
23120,irish
26743,italian
12741,italian
7050,italian
22437,southern_us
14760,mexican
10649,italian
48065,spanish
39931,italian
32935,italian
40142,chinese
19103,italian
38267,southern_us
30512,italian
3324,french
26197,italian
384,italian
47230,french
39748,italian
41038,mexican
24878,southern_us
42624,french
45706,italian
8874,mexican
23878,italian
47234,italian
24075,japanese
46323,mexican
22562,italian
11358,british
9201,french
38620,french
47638,mexican
21238,southern_us
11053,spanish
46602,italian
13937,british
21876,southern_us
20798,mexican
24381,british
48178,southern_us
45832,italian
27560,italian
23247,southern_us
28975,italian
43230,southern_us
9126,chinese
13021,french
28194,chinese
25617,italian
36125,greek
16454,italian
1607,french
38526,french
18755,italian
12035,french
16047,italian
15419,italian
16971,italian
31459,italian
27888,southern_us
13900,italian
12376,italian
1658,italian
29431,mexican
22290,thai
28464,greek
37953,italian
20814,italian
35987,italian
2329,french
43237,filipino
30647,italian
16675,italian
37722,italian
32438,greek
20287,italian
43296,chinese
6237,italian
48560,spanish
20810,french
34951,thai
31850,japanese
47745,southern_us
37815,italian
9872,southern_us
5592,italian
27411,mexican
39320,southern_us
40247,italian
19792,italian
40754,southern_us
14365,french
14468,southern_us
47563,southern_us
19611,french
7163,southern_us
43069,southern_us
27505,irish
36500,italian
25932,italian
817,british
8471,italian
48250,italian
9413,chinese
12097,italian
8416,greek
5892,italian
676,southern_us
47015,southern_us
21891,italian
14630,italian
36195,british
25981,southern_us
39964,french
28298,southern_us
31954,italian
26620,mexican
14932,italian
47426,indian
1038,mexican
8077,italian
37141,southern_us
45447,french
9624,southern_us
45589,french
7265,italian
31844,southern_us
13046,japanese
9867,french
29184,italian
34783,southern_us
2823,italian
18932,mexican
11112,mexican
12859,french
9365,italian
44516,italian
18193,italian
46545,italian
9900,italian
14815,mexican
39690,southern_us
22193,southern_us
11739,italian
27311,italian
36920,chinese
7861,italian
29248,italian
43142,italian
7574,southern_us
8610,mexican
989,french
46926,french
40816,french
39726,italian
42229,greek
10474,southern_us
22140,french
31985,italian
46165,spanish
20860,indian
42494,italian
15968,french
20484,filipino
26661,indian
47182,mexican
22528,italian
3861,italian
1203,southern_us
45040,italian
33287,italian
10097,italian
42005,italian
12423,italian
39613,italian
30276,southern_us
18686,italian
3031,italian
40093,southern_us
182,italian
46591,italian
4092,greek
13722,italian
44575,italian
14989,italian
13270,italian
25529,italian
12140,irish
23127,indian
13523,italian
41270,southern_us
8362,mexican
11735,italian
27935,mexican
28198,british
37765,chinese
33856,indian
30198,french
42521,italian
21567,chinese
36995,mexican
24967,french
45002,greek
48925,french
36914,indian
2280,french
14729,french
4594,italian
2237,irish
45631,french
2317,british
23079,mexican
29333,italian
48066,italian
15737,italian
30580,greek
1119,mexican
46336,chinese
5026,italian
10749,mexican
31020,southern_us
30805,italian
27653,chinese
35060,southern_us
39174,french
49509,italian
31784,french
31408,french
36029,french
11045,italian
6561,italian
26992,italian
31179,italian
35099,italian
11018,mexican
17930,mexican
21302,italian
46352,italian
25132,italian
7010,french
25850,southern_us
19601,italian
7935,southern_us
34994,chinese
25113,french
45523,indian
34977,southern_us
7124,french
27514,mexican
27178,mexican
47880,italian
29197,southern_us
16347,french
20333,italian
29112,french
7510,italian
13897,italian
35699,greek
20520,british
38920,french
21775,italian
37475,spanish
40131,southern_us
1939,italian
48268,french
34815,southern_us
13797,southern_us
39063,italian
29064,italian
26896,italian
29477,southern_us
3352,southern_us
4966,mexican
7316,italian
23879,french
16525,italian
32843,southern_us
39574,italian
32737,french
44788,italian
28772,italian
34189,mexican
33719,italian
25846,italian
1423,southern_us
4328,french
579,italian
5219,italian
2314,italian
31143,french
13409,british
3281,southern_us
15804,southern_us
40835,southern_us
39262,southern_us
37013,french
14807,southern_us
47956,mexican
2580,british
13720,southern_us
23008,british
5951,italian
39312,italian
6176,greek
17617,mexican
57,southern_us
43422,italian
49403,southern_us
44751,mexican
21865,mexican
26584,italian
39355,italian
14038,mexican
45396,french
49715,italian
41515,chinese
30445,italian
4090,japanese
17207,filipino
40376,italian
19398,french
22347,italian
49671,british
40854,italian
926,italian
47919,french
20571,southern_us
18866,southern_us
48742,southern_us
14577,italian
29481,southern_us
40996,italian
34470,italian
31147,british
35932,italian
27221,italian
48301,italian
29925,italian
48640,italian
22873,southern_us
10565,italian
15509,italian
37569,mexican
13306,italian
40474,southern_us
15182,italian
8609,italian
32168,italian
1125,italian
25244,mexican
46889,mexican
13841,chinese
47135,french
29036,french
43533,italian
41631,southern_us
22124,italian
18836,french
35695,italian
5141,chinese
41894,mexican
4972,french
34195,mexican
14183,french
15188,italian
8734,italian
30946,italian
5588,italian
49554,mexican
1270,southern_us
1259,italian
45986,french
22351,italian
300,french
9278,italian
10021,thai
17014,italian
40855,italian
18362,italian
16292,italian
29924,italian
47174,southern_us
4856,mexican
15417,italian
19875,italian
42228,mexican
36264,mexican
14571,british
23496,chinese
43879,southern_us
23431,italian
5499,southern_us
247,southern_us
48795,italian
47113,southern_us
489,mexican
13036,spanish
4838,italian
40630,french
17576,greek
29972,chinese
8123,italian
35918,british
42669,filipino
24632,southern_us
35740,french
45670,italian
28041,italian
46688,spanish
10309,vietnamese
15367,southern_us
30562,italian
47151,japanese
47300,chinese
31200,italian
5749,italian
41807,italian
13990,italian
23572,cajun_creole
872,italian
38085,italian
5248,italian
26309,mexican
26880,british
41559,indian
8059,italian
26041,italian
30019,italian
7207,french
30309,italian
2092,mexican
8023,french
4016,southern_us
24631,italian
35068,french
8523,mexican
28463,southern_us
8629,filipino
43829,italian
22129,italian
34505,italian
38200,irish
36513,british
32187,italian
7788,italian
31130,french
40483,italian
2224,french
14143,chinese
22889,italian
17406,mexican
10451,filipino
19844,italian
23416,italian
33874,french
39951,italian
41361,british
44659,greek
8836,mexican
